都道府県,2001_hour,2001_minutes,2006,2011,2016
全国,7.45,447, 462, 462, 457
北海道,7.52,451.2, 473, 468, 469
青森県,8.01,480.6, 482, 481, 478
岩手県,8.03,481.8, 480, 472, 473
宮城県,7.53,451.8, 475, 469, 464
秋田県,8.02,481.2, 485, 482, 481
山形県,8.02,481.2, 485, 477, 473
福島県,7.58,454.8, 473, 475, 468
茨城県,7.48,448.8, 464, 466, 455
栃木県,7.47,448.2, 463, 465, 460
群馬県,7.49,449.4, 465, 464, 459
埼玉県,7.37,442.2, 457, 455, 448
千葉県,7.38,442.8, 453, 454, 450
東京都,7.37,442.2, 456, 457, 453
神奈川県,7.38,442.8, 451, 451, 450
新潟県,7.55,453, 471, 472, 466
富山県,7.50,450, 463, 466, 461
石川県,7.48,448.8, 463, 469, 459
福井県,7.51,450.6, 468, 468, 464
山梨県,7.52,451.2, 471, 465, 461
長野県,7.49,449.4, 467, 471, 464
岐阜県,7.46,447.6, 462, 463, 458
静岡県,7.43,445.8, 464, 462, 456
愛知県,7.44,446.4, 457, 462, 452
三重県,7.48,448.8, 465, 464, 457
滋賀県,7.44,446.4, 460, 462, 460
京都府,7.45,447, 459, 464, 457
大阪府,7.40,444, 460, 460, 454
兵庫県,7.40,444, 458, 454, 452
奈良県,7.43,445.8, 456, 453, 452
和歌山県,7.54,452.4, 470, 470, 463
鳥取県,7.53,451.8, 466, 468, 463
島根県,7.57,454.2, 474, 472, 470
岡山県,7.46,447.6, 464, 462, 457
広島県,7.42,445.2, 464, 456, 459
山口県,7.47,448.2, 462, 467, 458
徳島県,7.47,448.2, 465, 466, 461
香川県,7.51,450.6, 462, 465, 458
愛媛県,7.54,452.4, 465, 465, 459
高知県,8.00,480, 474, 480, 470
福岡県,7.44,446.4, 461, 466, 456
佐賀県,7.48,448.8, 465, 467, 462
長崎県,7.49,449.4, 464, 464, 456
熊本県,7.54,452.4, 471, 471, 462
大分県,7.48,448.8, 466, 465, 463
宮崎県,7.56,453.6, 466, 467, 471
鹿児島県,7.54,452.4, 471, 471, 465
沖縄県,7.51,450.6, 472, 462, 457
